AddNum,StPreDir,StName,StSuffix,Zip4,Name,geometry,longitude,latitude,jointadd
12450,W,FRANKLIN,RD,83709,Twelve,POINT (-116.3381911659999 43.60654077000004),-116.33819116599994,43.60654077000004,12450 W FRANKLIN RD
12348,W,FRANKLIN,RD,83709,Twelve,POINT (-116.336681734 43.60513962400006),-116.33668173399997,43.60513962400006,12348 W FRANKLIN RD
12430,W,FRANKLIN,RD,83709,Twelve,POINT (-116.3387623899999 43.60511813100004),-116.33876238999994,43.60511813100004,12430 W FRANKLIN RD
12590,W,FRANKLIN,RD,83709,Twelve,POINT (-116.339440054 43.60512543500005),-116.33944005399997,43.60512543500005,12590 W FRANKLIN RD
12544,W,FRANKLIN,RD,83709,Twelve,POINT (-116.339237216 43.60513214400004),-116.33923721599996,43.60513214400004,12544 W FRANKLIN RD
12250,W,FRANKLIN,RD,83709,Twelve,POINT (-116.335259627 43.60514589200005),-116.33525962699997,43.60514589200005,12250 W FRANKLIN RD
11700,W,FRANKLIN,RD,83709,Twelve,POINT (-116.32904844 43.60517752100003),-116.32904843999995,43.60517752100003,11700 W FRANKLIN RD
10790,W,FRANKLIN,RD,83709,Twelve,POINT (-116.316419985 43.60520272200006),-116.31641998499998,43.60520272200006,10790 W FRANKLIN RD
11370,W,FRANKLIN,RD,83709,Twelve,POINT (-116.324051622 43.60509008500003),-116.32405162199996,43.60509008500003,11370 W FRANKLIN RD
11350,W,FRANKLIN,RD,83709,Twelve,POINT (-116.3237034809999 43.60509920300007),-116.32370348099994,43.605099203000066,11350 W FRANKLIN RD
11900,W,FRANKLIN,RD,83709,Twelve,POINT (-116.330172407 43.60513516600003),-116.33017240699996,43.605135166000025,11900 W FRANKLIN RD
12020,W,FRANKLIN,RD,83709,Twelve,POINT (-116.332458701 43.60527682800006),-116.33245870099995,43.60527682800006,12020 W FRANKLIN RD
12008,W,FRANKLIN,RD,83709,Twelve,POINT (-116.332401304 43.60506602000004),-116.33240130399997,43.60506602000004,12008 W FRANKLIN RD
12000,W,FRANKLIN,RD,83709,Twelve,POINT (-116.331820857 43.60505817900003),-116.33182085699997,43.605058179000025,12000 W FRANKLIN RD
10792,W,FRANKLIN,RD,83709,Twelve,POINT (-116.319646163 43.60526470000008),-116.31964616299996,43.60526470000008,10792 W FRANKLIN RD
12054,W,FRANKLIN,RD,83709,Twelve,POINT (-116.3337160899999 43.60547728800003),-116.33371608999994,43.60547728800003,12054 W FRANKLIN RD
12048,W,FRANKLIN,RD,83709,Twelve,POINT (-116.33306315 43.60529289600004),-116.33306314999999,43.60529289600004,12048 W FRANKLIN RD
12050,W,FRANKLIN,RD,83709,Twelve,POINT (-116.333870876 43.60528379700003),-116.33387087599999,43.60528379700003,12050 W FRANKLIN RD
11670,W,FRANKLIN,RD,83709,Twelve,POINT (-116.3277191129999 43.60698951500007),-116.32771911299994,43.606989515000066,11670 W FRANKLIN RD
11678,W,FRANKLIN,RD,83709,Twelve,POINT (-116.327386484 43.60536576300007),-116.32738648399999,43.605365763000066,11678 W FRANKLIN RD
9700,W,BETHEL,CT,83709,Twelve,POINT (-116.3033406169999 43.60597088600008),-116.30334061699995,43.60597088600008,9700 W BETHEL CT
9634,W,FRANKLIN,RD,83709,Twelve,POINT (-116.3017862569999 43.60503496300004),-116.30178625699995,43.60503496300004,9634 W FRANKLIN RD
9549,W,BETHEL,CT,83709,Twelve,POINT (-116.3007289239999 43.60509749700003),-116.30072892399994,43.60509749700003,9549 W BETHEL CT
9460,W,FRANKLIN,RD,83709,Twelve,POINT (-116.299473861 43.60510353700005),-116.29947386099997,43.60510353700005,9460 W FRANKLIN RD
9320,W,FRANKLIN,RD,83709,Twelve,POINT (-116.297851481 43.60508633300003),-116.29785148099995,43.60508633300003,9320 W FRANKLIN RD
1,N,MAPLE GROVE,RD,83709,Twelve,POINT (-116.295821292 43.60604692000004),-116.29582129199997,43.60604692000004,1 N MAPLE GROVE RD
9220,W,FRANKLIN,RD,83709,Twelve,POINT (-116.297254428 43.60533053400007),-116.29725442799997,43.605330534000075,9220 W FRANKLIN RD
9030,W,FRANKLIN,RD,83709,Twelve,POINT (-116.294718989 43.60515508800006),-116.29471898899999,43.60515508800006,9030 W FRANKLIN RD
9364,W,FRANKLIN,RD,83709,Twelve,POINT (-116.298382954 43.60520991700002),-116.29838295399998,43.605209917000025,9364 W FRANKLIN RD
